,geneamps_ENSG00000133627_ACTR3B,geneamps_ENSG00000011426_ANLN,geneamps_ENSG00000107262_BAG1,geneamps_ENSG00000171791_BCL2,geneamps_ENSG00000089685_BIRC5,geneamps_ENSG00000106605_BLVRA,geneamps_ENSG00000134057_CCNB1,geneamps_ENSG00000105173_CCNE1,geneamps_ENSG00000117399_CDC20,geneamps_ENSG00000094804_CDC6,geneamps_ENSG00000062038_CDH3,geneamps_ENSG00000117724_CENPF,geneamps_ENSG00000138180_CEP55,geneamps_ENSG00000171604_CXXC5,geneamps_ENSG00000146648_EGFR,geneamps_ENSG00000141736_ERBB2,geneamps_ENSG00000091831_ESR1,geneamps_ENSG00000174371_EXO1,geneamps_ENSG00000160867_FGFR4,geneamps_ENSG00000129514_FOXA1,geneamps_ENSG00000054598_FOXC1,geneamps_ENSG00000173890_GPR160,geneamps_ENSG00000141738_GRB7,geneamps_ENSG00000142945_KIF2C,geneamps_ENSG00000186847_KRT14,geneamps_ENSG00000128422_KRT17,geneamps_ENSG00000186081_KRT5,geneamps_ENSG00000186868_MAPT,geneamps_ENSG00000135679_MDM2,geneamps_ENSG00000165304_MELK,geneamps_ENSG00000261857_MIA,geneamps_ENSG00000148773_MKI67,geneamps_ENSG00000115648_MLPH,geneamps_ENSG00000099953_MMP11,geneamps_ENSG00000101057_MYBL2,geneamps_ENSG00000136997_MYC,geneamps_ENSG00000171428_NAT1,geneamps_ENSG00000080986_NDC80,geneamps_ENSG00000143228_NUF2,geneamps_ENSG00000091651_ORC6,geneamps_ENSG00000082175_PGR,geneamps_ENSG00000092621_PHGDH,geneamps_ENSG00000164611_PTTG1,geneamps_ENSG00000171848_RRM2,geneamps_ENSG00000104332_SFRP1,geneamps_ENSG00000141424_SLC39A6,geneamps_ENSG00000151715_TMEM45B,geneamps_ENSG00000176890_TYMS,geneamps_ENSG00000175063_UBE2C,geneamps_ENSG00000077152_UBE2T
HMF003391A,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,7.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,7.0,1.0,1.0,1.0,3.0,4.0
HMF003928A,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,2.0,3.0
HMF000935A,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,2.0,3.0,2.0,5.0,4.0,4.0,3.0,5.0,6.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,5.0,6.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,6.0,4.0,2.0,4.0,4.0,5.0
HMF003676A,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,11.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0
HMF000766A,3.0,5.0,2.0,2.0,7.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,2.0,3.0,2.0,3.0,2.0,4.0,12.0,4.0,2.0,4.0,7.0,4.0,3.0,3.0,2.0,14.0,2.0,2.0,3.0,4.0,6.0
HMF000417A,3.0,4.0,2.0,2.0,5.0,4.0,2.0,4.0,3.0,22.0,6.0,3.0,2.0,2.0,4.0,29.0,2.0,5.0,2.0,3.0,3.0,2.0,29.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,3.0,2.0,2.0,6.0,2.0,2.0,3.0,5.0,2.0,3.0,2.0,6.0,2.0,2.0,7.0,2.0,2.0,4.0
HMF004791A,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,6.0,4.0
HMF001223C,6.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,2.0,6.0,4.0,4.0,5.0,3.0,2.0,6.0,4.0,3.0,6.0,4.0,3.0,5.0,3.0,3.0,5.0,3.0,6.0,4.0,4.0,3.0,6.0,4.0,5.0,5.0,2.0,4.0,7.0,2.0,5.0,5.0,6.0,8.0,8.0,7.0,5.0,6.0,5.0,6.0
HMF002325A,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0
HMF002481A,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
HMF002917A,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0
HMF002114A,4.0,3.0,3.0,8.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,20.0,3.0,4.0,5.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,5.0,4.0,6.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,2.0,3.0,4.0,6.0
HMF000657A,3.0,3.0,5.0,2.0,2.0,3.0,3.0,2.0,5.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,5.0,4.0,2.0,5.0,2.0,2.0,6.0,2.0,2.0,5.0,2.0,2.0,4.0,2.0,2.0,5.0,3.0,5.0,5.0,2.0,5.0,5.0,3.0,4.0,3.0,2.0,3.0,8.0,2.0,2.0
HMF000735A,4.0,3.0,3.0,3.0,6.0,3.0,4.0,5.0,2.0,6.0,2.0,7.0,3.0,4.0,4.0,6.0,3.0,7.0,4.0,4.0,3.0,3.0,6.0,2.0,6.0,6.0,4.0,6.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,5.0,3.0,3.0,6.0,2.0,3.0,2.0,4.0,2.0,5.0,3.0,3.0,3.0,6.0,6.0
HMF003399A,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,34.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,6.0,2.0,1.0,2.0,2.0,2.0
HMF002852A,4.0,4.0,4.0,2.0,5.0,3.0,3.0,3.0,4.0,5.0,2.0,6.0,4.0,3.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,2.0,2.0,5.0,2.0,5.0,5.0,3.0,4.0,2.0,4.0,7.0,10.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,6.0,8.0,2.0,2.0,3.0,7.0,6.0
HMF002464A,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,6.0
HMF000135A,3.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0
HMF000411B,1.0,4.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,10.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,2.0,4.0
HMF003684A,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,7.0,2.0,2.0,2.0,1.0,2.0,5.0,7.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0
HMF000273A,3.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,4.0,5.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,6.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,5.0,8.0,1.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,5.0,4.0
HMF000886B,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0
HMF002560A,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,7.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,7.0
HMF000612A,4.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,6.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,5.0,2.0,3.0,3.0,2.0,1.0
HMF001349A,3.0,3.0,2.0,4.0,9.0,3.0,4.0,4.0,3.0,9.0,3.0,3.0,3.0,4.0,3.0,9.0,2.0,3.0,4.0,4.0,4.0,5.0,9.0,3.0,9.0,9.0,4.0,9.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,8.0,1.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,15.0,4.0,2.0,4.0,4.0,4.0
HMF000408A,3.0,3.0,4.0,3.0,3.0,3.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,5.0
HMF004072A,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,4.0,1.0,2.0,2.0,8.0,1.0,4.0,2.0,2.0,2.0,3.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0
HMF000087A,5.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,10.0,5.0,7.0,3.0,3.0,4.0,47.0,3.0,7.0,3.0,4.0,4.0,11.0,47.0,5.0,2.0,2.0,4.0,2.0,4.0,3.0,7.0,3.0,3.0,4.0,6.0,19.0,2.0,4.0,7.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,6.0,7.0
HMF001802A,2.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,61.0,2.0,3.0,1.0,2.0,2.0,2.0,61.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0
HMF002524A,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,12.0,2.0,1.0,2.0,2.0,1.0
HMF000390A,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,5.0,4.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,6.0,3.0,6.0,4.0,6.0,4.0,4.0,9.0,2.0,4.0,5.0,2.0,2.0,2.0,4.0,3.0,8.0,4.0,6.0,4.0,4.0,5.0
HMF002233A,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0
HMF001130A,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,5.0
HMF001352A,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,6.0,3.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,6.0
HMF003008A,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0
HMF004321A,4.0,4.0,2.0,4.0,5.0,4.0,2.0,4.0,8.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,4.0,5.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0
HMF000261A,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,6.0,3.0,3.0,3.0,2.0,2.0,5.0,3.0,3.0,3.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,6.0
HMF000737A,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0
HMF003464A,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,1.0,2.0,2.0,2.0,2.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,13.0,2.0,1.0,2.0,3.0,2.0
HMF003849A,3.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0
HMF002822A,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0
HMF002960A,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0
HMF001628A,5.0,5.0,3.0,2.0,2.0,5.0,3.0,4.0,2.0,2.0,2.0,6.0,4.0,3.0,5.0,2.0,2.0,6.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,6.0,6.0,2.0,6.0,2.0,2.0,2.0,3.0,3.0,6.0,2.0,2.0,2.0,3.0,6.0
HMF000193A,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0
HMF000045A,6.0,6.0,4.0,4.0,6.0,6.0,6.0,4.0,4.0,6.0,2.0,8.0,4.0,6.0,6.0,6.0,4.0,8.0,6.0,4.0,4.0,4.0,6.0,4.0,6.0,6.0,4.0,6.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,6.0,6.0,4.0,8.0,2.0,4.0,4.0,6.0,4.0,6.0,4.0,4.0,4.0,4.0,8.0
HMF003810A,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,2.0,1.0,2.0,3.0,2.0
HMF002470A,4.0,4.0,2.0,3.0,3.0,4.0,4.0,6.0,3.0,3.0,2.0,5.0,4.0,3.0,4.0,3.0,2.0,6.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,7.0,2.0,1.0,2.0,4.0,5.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,8.0,3.0,5.0,2.0,4.0,5.0
HMF002265A,4.0,3.0,2.0,3.0,5.0,3.0,4.0,8.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,11.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,6.0,7.0,17.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,10.0,3.0,4.0,3.0,7.0,4.0
HMF002088A,2.0,3.0,4.0,3.0,5.0,3.0,2.0,3.0,2.0,5.0,2.0,4.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,2.0,5.0,5.0,5.0,6.0,5.0,2.0,3.0,5.0,2.0,2.0,4.0,10.0,5.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0
HMF003935A,2.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,6.0,3.0,4.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,6.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,6.0
HMF002611A,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0
HMF001656A,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0
HMF000529A,3.0,2.0,5.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0
HMF001820A,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
HMF000785A,5.0,5.0,3.0,4.0,2.0,5.0,3.0,5.0,4.0,7.0,4.0,6.0,4.0,3.0,5.0,7.0,10.0,6.0,3.0,4.0,6.0,4.0,7.0,4.0,8.0,8.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,6.0,25.0,1.0,4.0,6.0,4.0,2.0,5.0,3.0,3.0,0.0,4.0,2.0,4.0,6.0,6.0
HMF001271A,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0
HMF000713A,3.0,7.0,2.0,2.0,18.0,8.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,6.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,2.0,3.0,2.0,4.0,2.0,7.0,7.0,2.0,3.0,4.0,3.0,2.0,3.0,6.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0
HMF001969A,3.0,5.0,2.0,2.0,4.0,5.0,4.0,2.0,2.0,4.0,2.0,5.0,2.0,4.0,7.0,7.0,5.0,5.0,4.0,2.0,4.0,4.0,7.0,2.0,4.0,4.0,5.0,4.0,5.0,2.0,2.0,2.0,3.0,2.0,6.0,6.0,2.0,2.0,6.0,2.0,4.0,4.0,4.0,2.0,10.0,2.0,4.0,2.0,6.0,4.0
HMF001443A,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0
HMF004714A,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,59.0,1.0,3.0,3.0,3.0,2.0,5.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,5.0
HMF001092B,4.0,5.0,2.0,3.0,2.0,5.0,2.0,3.0,2.0,5.0,3.0,4.0,2.0,2.0,5.0,4.0,1.0,4.0,7.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,7.0,1.0,3.0,5.0,3.0,4.0,2.0,2.0,5.0,6.0,2.0,3.0,3.0,3.0,4.0
HMF001933B,2.0,4.0,3.0,3.0,4.0,4.0,4.0,6.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,12.0,3.0,3.0,2.0,3.0,1.0,3.0,8.0,3.0,2.0,6.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,5.0
